OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
OD000001,O03034,P0049,1,524.2,524.2
OD000002,O10348,P0106,3,64.16,192.48
OD000003,O05385,P0010,5,514.44,2572.2
OD000004,O15309,P0164,2,216.61,433.22
OD000005,O10903,P0069,3,53.5,160.5
OD000006,O07641,P0077,1,141.31,141.31
OD000007,O01032,P0016,4,34.47,137.88
OD000008,O08920,P0044,3,391.56,1174.68
OD000009,O05128,P0081,3,580.49,1741.47
OD000010,O03086,P0116,1,86.56,86.56
OD000011,O04652,P0034,2,379.93,759.86
OD000012,O03579,P0022,1,343.21,343.21
OD000013,O12256,P0085,4,521.62,2086.48
OD000014,O03941,P0176,1,250.73,250.73
OD000015,O06049,P0176,5,250.73,1253.65
OD000016,O02829,P0128,4,544.24,2176.96
OD000017,O18938,P0126,3,478.08,1434.24
OD000018,O07557,P0028,4,370.0,1480.0
OD000019,O05431,P0018,2,278.04,556.08
OD000020,O12744,P0112,1,423.38,423.38
OD000021,O16205,P0071,4,146.86,587.44
OD000022,O18376,P0155,1,325.81,325.81
OD000023,O08505,P0183,3,253.2,759.6
OD000024,O04251,P0040,2,177.49,354.98
OD000025,O08305,P0199,5,568.56,2842.8
OD000026,O10195,P0125,2,258.01,516.02
OD000027,O07668,P0157,3,117.69,353.07
OD000028,O19685,P0182,1,66.9,66.9
OD000029,O07107,P0005,5,168.41,842.05
OD000030,O05306,P0160,1,312.31,312.31
OD000031,O19888,P0128,3,544.24,1632.72
OD000032,O05735,P0163,1,240.44,240.44
OD000033,O16305,P0123,1,100.49,100.49
OD000034,O16314,P0131,3,334.29,1002.87
OD000035,O14449,P0177,5,328.46,1642.3
OD000036,O09259,P0149,1,477.67,477.67
OD000037,O04627,P0019,4,320.63,1282.52
OD000038,O15659,P0113,2,347.57,695.14
OD000039,O15669,P0175,3,123.39,370.17
OD000040,O10622,P0194,4,548.36,2193.44
OD000041,O04966,P0075,4,269.25,1077.0
OD000042,O00334,P0017,3,174.46,523.38
OD000043,O00761,P0053,5,329.99,1649.95
OD000044,O12947,P0053,2,329.99,659.98
OD000045,O10763,P0027,5,344.79,1723.95
OD000046,O08321,P0053,3,329.99,989.97
OD000047,O10006,P0024,4,283.22,1132.88
OD000048,O17401,P0116,4,86.56,346.24
OD000049,O06361,P0045,4,79.84,319.36
OD000050,O15315,P0063,4,397.44,1589.76
OD000051,O09965,P0045,2,79.84,159.68
OD000052,O09308,P0167,2,265.03,530.06
OD000053,O10048,P0042,1,313.18,313.18
OD000054,O01112,P0119,5,184.94,924.7
OD000055,O11842,P0077,4,141.31,565.24
OD000056,O18882,P0173,1,336.58,336.58
OD000057,O19387,P0134,4,317.66,1270.64
OD000058,O06235,P0045,4,79.84,319.36
OD000059,O15957,P0041,4,500.86,2003.44
OD000060,O18151,P0160,1,312.31,312.31
OD000061,O07881,P0200,2,378.2,756.4
OD000062,O13801,P0159,2,473.08,946.16
OD000063,O04482,P0067,1,74.72,74.72
OD000064,O17114,P0066,5,318.12,1590.6
OD000065,O07866,P0006,5,549.08,2745.4
OD000066,O15386,P0039,5,498.62,2493.1
OD000067,O19428,P0101,1,251.11,251.11
OD000068,O06955,P0001,4,409.01,1636.04
OD000069,O00845,P0055,5,146.64,733.2
OD000070,O03250,P0179,1,115.48,115.48
OD000071,O01141,P0016,3,34.47,103.41
OD000072,O06131,P0174,2,270.27,540.54
OD000073,O14357,P0134,4,317.66,1270.64
OD000074,O12861,P0063,5,397.44,1987.2
OD000075,O11868,P0108,2,128.73,257.46
OD000076,O15707,P0065,5,62.97,314.85
OD000077,O12938,P0076,1,313.94,313.94
OD000078,O19325,P0162,5,80.7,403.5
OD000079,O14781,P0107,4,318.81,1275.24
OD000080,O00083,P0004,5,101.47,507.35
OD000081,O02195,P0131,1,334.29,334.29
OD000082,O07305,P0045,4,79.84,319.36
OD000083,O17040,P0061,1,164.97,164.97
OD000084,O09786,P0098,5,246.17,1230.85
OD000085,O11409,P0057,3,185.42,556.26
OD000086,O08777,P0124,4,483.43,1933.72
OD000087,O06989,P0072,2,582.19,1164.38
OD000088,O15003,P0028,5,370.0,1850.0
OD000089,O00871,P0109,3,415.03,1245.09
OD000090,O09735,P0076,2,313.94,627.88
OD000091,O16046,P0048,5,449.27,2246.35
OD000092,O01361,P0059,5,114.52,572.6
OD000093,O15626,P0176,3,250.73,752.19
OD000094,O13872,P0132,3,504.41,1513.23
OD000095,O06430,P0122,3,324.25,972.75
OD000096,O19947,P0049,2,524.2,1048.4
OD000097,O19983,P0105,3,215.98,647.94
OD000098,O17874,P0100,3,170.87,512.61
OD000099,O04363,P0035,2,427.56,855.12
OD000100,O11470,P0065,5,62.97,314.85
OD000101,O00904,P0186,4,101.22,404.88
OD000102,O05164,P0180,1,47.57,47.57
OD000103,O05157,P0192,4,587.12,2348.48
OD000104,O09414,P0106,2,64.16,128.32
OD000105,O10484,P0002,4,478.19,1912.76
OD000106,O09222,P0080,3,562.55,1687.65
OD000107,O08435,P0149,2,477.67,955.34
OD000108,O08564,P0159,5,473.08,2365.4
OD000109,O10755,P0008,1,223.46,223.46
OD000110,O00824,P0025,5,209.5,1047.5
OD000111,O16620,P0083,2,160.78,321.56
OD000112,O14763,P0037,4,142.32,569.28
OD000113,O10186,P0190,2,554.5,1109.0
OD000114,O04221,P0133,2,346.74,693.48
OD000115,O02770,P0128,5,544.24,2721.2
OD000116,O10987,P0087,1,523.1,523.1
OD000117,O11981,P0090,4,281.38,1125.52
OD000118,O02468,P0162,4,80.7,322.8
OD000119,O13560,P0163,3,240.44,721.32
OD000120,O14923,P0200,2,378.2,756.4
OD000121,O01661,P0187,2,281.72,563.44
OD000122,O14015,P0086,1,382.17,382.17
OD000123,O05739,P0117,5,399.85,1999.25
OD000124,O19862,P0186,4,101.22,404.88
OD000125,O08841,P0103,4,12.08,48.32
OD000126,O05834,P0168,2,417.68,835.36
OD000127,O17322,P0143,3,194.05,582.15
OD000128,O01910,P0147,5,561.52,2807.6
OD000129,O16213,P0054,5,297.52,1487.6
OD000130,O13262,P0140,5,28.02,140.1
OD000131,O06838,P0055,3,146.64,439.92
OD000132,O15054,P0086,5,382.17,1910.85
OD000133,O03935,P0156,4,169.31,677.24
OD000134,O09149,P0158,4,63.81,255.24
OD000135,O10462,P0080,3,562.55,1687.65
OD000136,O04161,P0052,2,591.27,1182.54
OD000137,O02380,P0180,5,47.57,237.85
OD000138,O12578,P0102,1,156.97,156.97
OD000139,O13085,P0180,4,47.57,190.28
OD000140,O04067,P0069,1,53.5,53.5
OD000141,O16186,P0054,4,297.52,1190.08
OD000142,O14574,P0096,5,501.09,2505.45
OD000143,O17966,P0138,4,400.8,1603.2
OD000144,O02384,P0133,3,346.74,1040.22
OD000145,O12282,P0173,3,336.58,1009.74
OD000146,O14976,P0060,2,327.36,654.72
