OrderID,CustomerID,StoreID,OrderDate,OrderTime,OrderDateTime,Status,TotalAmount,DeliveryTime_minutes
O00001,C0856,S017,2025-11-22,11:25:59,2025-11-22 11:25:59,completed,129.99,40
O00002,C0589,S019,2025-11-24,12:13:19,2025-11-24 12:13:19,cancelled,0.0,0
O00003,C1037,S026,2025-11-26,15:16:14,2025-11-26 15:16:14,cancelled,0.0,0
O00004,C0737,S010,2025-11-01,23:06:12,2025-11-01 23:06:12,completed,1258.98,34
O00005,C0511,S014,2025-12-01,13:54:59,2025-12-01 13:54:59,cancelled,0.0,0
O00006,C1221,S028,2025-11-18,05:30:34,2025-11-18 05:30:34,completed,918.3,43
O00007,C0896,S012,2025-11-19,03:09:04,2025-11-19 03:09:04,cancelled,0.0,0
O00008,C2516,S012,2025-11-24,10:54:26,2025-11-24 10:54:26,completed,1220.15,34
O00009,C1809,S018,2025-11-18,02:31:58,2025-11-18 02:31:58,cancelled,0.0,0
O00010,C0680,S042,2025-11-30,09:16:42,2025-11-30 09:16:42,completed,524.74,28
O00011,C0450,S040,2025-11-18,20:55:19,2025-11-18 20:55:19,cancelled,0.0,0
O00012,C0037,S040,2025-11-11,06:06:54,2025-11-11 06:06:54,cancelled,0.0,0
O00013,C1441,S044,2025-11-04,12:11:54,2025-11-04 12:11:54,completed,1229.11,24
O00014,C0441,S029,2025-11-13,15:56:59,2025-11-13 15:56:59,cancelled,0.0,0
O00015,C0658,S021,2025-10-27,13:16:40,2025-10-27 13:16:40,cancelled,0.0,0
O00016,C1391,S050,2025-11-08,13:41:20,2025-11-08 13:41:20,cancelled,0.0,0
O00017,C2527,S033,2025-11-06,21:00:43,2025-11-06 21:00:43,completed,978.96,29
O00018,C1461,S009,2025-11-02,14:21:50,2025-11-02 14:21:50,cancelled,0.0,0
O00019,C1424,S028,2025-10-30,14:59:40,2025-10-30 14:59:40,completed,205.4,31
O00020,C2950,S041,2025-11-15,10:04:57,2025-11-15 10:04:57,completed,709.82,17
O00021,C1166,S040,2025-11-05,22:29:35,2025-11-05 22:29:35,completed,1721.62,40
O00022,C0898,S040,2025-10-25,06:26:26,2025-10-25 06:26:26,completed,1438.39,36
O00023,C2152,S030,2025-11-02,16:46:12,2025-11-02 16:46:12,cancelled,0.0,0
O00024,C2636,S009,2025-11-23,23:17:26,2025-11-23 23:17:26,cancelled,0.0,0
O00025,C0871,S024,2025-10-18,12:52:00,2025-10-18 12:52:00,completed,665.25,18
O00026,C0095,S023,2025-11-28,06:04:31,2025-11-28 06:04:31,cancelled,0.0,0
O00027,C2288,S013,2025-10-18,10:16:53,2025-10-18 10:16:53,completed,1393.69,30
O00028,C2289,S020,2025-11-20,10:23:30,2025-11-20 10:23:30,cancelled,0.0,0
O00029,C1415,S023,2025-11-06,20:52:34,2025-11-06 20:52:34,completed,1155.49,21
O00030,C1940,S014,2025-10-31,04:37:18,2025-10-31 04:37:18,completed,788.58,30
O00031,C0817,S004,2025-10-24,03:42:22,2025-10-24 03:42:22,completed,810.86,42
O00032,C2544,S026,2025-10-20,06:12:42,2025-10-20 06:12:42,completed,1885.78,20
O00033,C0282,S008,2025-10-21,21:04:55,2025-10-21 21:04:55,completed,1316.01,31
O00034,C2763,S017,2025-10-20,02:57:02,2025-10-20 02:57:02,completed,1778.24,21
O00035,C0365,S007,2025-11-01,01:30:03,2025-11-01 01:30:03,cancelled,0.0,0
O00036,C1162,S007,2025-11-29,14:34:05,2025-11-29 14:34:05,cancelled,0.0,0
O00037,C2696,S012,2025-10-24,06:29:09,2025-10-24 06:29:09,cancelled,0.0,0
O00038,C0179,S039,2025-10-26,23:20:19,2025-10-26 23:20:19,cancelled,0.0,0
O00039,C0198,S007,2025-10-23,07:03:18,2025-10-23 07:03:18,cancelled,0.0,0
